	character 1	character 2	character 3	character 4	character 5	character 6	character 7	character 8	character 9	character 10	top 10 title	top 10 attributes	top 10 agent verbs
16	['Carly', 'Transformers: Dark of the Moon']	['Arwen', 'The Lord of the Rings: The Return of the King']	['Joshamee Gibbs', 'Pirates of the Caribbean: On Stranger Tides']	"['Joshamee Gibbs', ""Pirates of the Caribbean: At World's End""]"	['Arwen', 'The Lord of the Rings: The Two Towers']	['Ellie Sattler', 'Jurassic Park']	['Arwen', 'The Lord of the Rings: The Fellowship of the Ring']	['Zuba', 'Madagascar: Escape 2 Africa']	['Andromeda', 'Clash of the Titans']	['Ellie Sattler', 'Jurassic Park III']	['magnate', 'queen', 'officer', 'princess', 'musician', 'manager', 'leader', 'student', 'biologist', 'general']	['father', 'daughter', 'friend', 'mother', 'heart', 'brother', 'love', 'son', 'check', 'named']	['reunite', 'take', 'leave', 'tell', 'go', 'decide', 'meet', 'return', 'begin', 'reveal']
12	['Bezu Fache', 'The Da Vinci Code']	['Finn McMissile', 'Cars 2']	['Paz', 'The Bourne Ultimatum']	['Bob Cratchit', 'A Christmas Carol']	['Ward Abbott', 'The Bourne Supremacy']	['David Kawena', 'Lilo & Stitch']	['President Lindberg', 'The Fifth Element']	"['Horatio', ""Gulliver's Travels""]"	['George Logan', 'Scary Movie 3']	['Malcolm Bench', 'Vertical Limit']	['detective', 'lt', 'officer', 'manager', 'reverend', 'chancellor', 'deputy', 'director', 'owner', 'president']	['friend', 'wife', 'house', 'room', 'girl', 'love', 'relationship', 'husband', 'son', 'mother']	['tell', 'go', 'ask', 'find', 'get', 'leave', 'take', 'see', 'arrive', 'say']
21	['J. Jonah Jameson', 'Spider-Man']	['Harold Oxley', 'Indiana Jones and the Kingdom of the Crystal Skull']	['J. Jonah Jameson', 'Spider-Man 2']	['Jackson Curtis', '2012']	['Yuri Karpov', '2012']	['Anton Ego', 'Ratatouille']	['Jonathan Lundy', 'Mrs. Doubtfire']	['George McFly', 'Back to the Future']	['Catherine Tramell', 'Basic Instinct']	['George McFly', 'Back to the Future Part II']	['writer', 'author', 'editor', 'novelist', 'journalist', 'waitress', 'reporter', 'poet', 'critic', 'sports']	['friend', 'writer', 'book', 'symphony', 'author', '2nd', 'house', 'wife', 'editor', 'father']	['go', 'find', 'decide', 'meet', 'tell', 'take', 'discover', 'write', 'get', 'escape']
32	['King Magnus', 'Snow White and the Huntsman']	['Sarah Hotchner', 'Deep Impact']	['Lorna Cole', 'Lethal Weapon 3']	['Lorna Cole', 'Lethal Weapon 4']	"['Julie Abrams', ""Bienvenue chez les Ch'tis""]"	['Sibylla', 'Kingdom of Heaven']	['Val Goldman', 'The Birdcage']	['Barbara Keeley', 'The Birdcage']	['Anthony', 'Sweeney Todd: The Demon Barber of Fleet Street']	['William Riker', 'Star Trek: Generations']	['sergeant', 'captain', 'commander', 'senator', 'superior', 'private', 'princess', 'police', 'officer', 'coach']	['daughter', 'son', 'marriage', 'father', 'life', 'sister', 'parent', 'farewell', 'friend', 'uncle']	['marry', 'go', 'tell', 'come', 'leave', 'refuse', 'elope', 'find', 'fall', 'agree']
0	['Dr. Chase Meridian', 'Batman Forever']	['Sarah Whittle', 'Jumanji']	['Kuato', 'Total Recall']	['Rita Escobar', 'Wild Wild West']	['Jovie', 'Elf']	['Kilowog', 'Green Lantern']	['Felix', 'Collateral']	['Jesse', 'The Fast and the Furious']	['Granmamare', 'Ponyo']	['Giovanni', 'Pokémon: The First Movie']	['professor', 'detective', 'princess', 'king', 'president', 'accountant', 'chairman', 'sales', 'representative', 'contractor']	['mother', 'help', 'life', 'sister', 'father', 'matter', 'fairy', 'friend', 'revenge', 'wife']	['meet', 'tell', 'ask', 'reveal', 'come', 'kill', 'give', 'leave', 'find', 'become']
1	['Steve Rogers', 'The Avengers']	['Thor', 'The Avengers']	['Lord Voldemort', 'Harry Potter and the Deathly Hallows – Part 2']	['Harry Potter', 'Harry Potter and the Deathly Hallows – Part 2']	['Saruman', 'The Lord of the Rings: The Return of the King']	['Théoden', 'The Lord of the Rings: The Return of the King']	['Frodo Baggins', 'The Lord of the Rings: The Return of the King']	['Batman', 'The Dark Knight Rises']	['Bruce Wayne', 'The Dark Knight Rises']	['Andy', 'Toy Story 3']	['captain', 'general', 'driver', 'judge', 'policeman', 'acrobat', 'detective', 'commandant', 'inspector', 'president']	['wife', 'friend', 'house', 'much', 'head', 'son', 'father', 'home', 'attempt', 'mother']	['go', 'tell', 'try', 'take', 'get', 'find', 'kill', 'meet', 'see', 'manage']
2	['Rachel Dawes', 'The Dark Knight']	"['Cutler Beckett', ""Pirates of the Caribbean: At World's End""]"	['Sir Leigh Teabing', 'The Da Vinci Code']	['Griffin', 'Men in Black 3']	['Vesper Lynd', 'Casino Royale']	['Vesper Lynd', 'Quantum of Solace']	['Kingsley', 'The Hangover: Part II']	['Teddy', 'The Hangover: Part II']	['Irene Adler', 'Sherlock Holmes: A Game of Shadows']	['Lord Blackwood', 'Sherlock Holmes']	['police', 'officer', 'sheriff', 'inspector', 'attorney', 'deputy', 'major', 'director', 'captain', 'lieutenant']	['friend', 'wife', 'murder', 'death', 'mother', 'arrest', 'daughter', 'one', 'brother', 'house']	['take', 'go', 'tell', 'find', 'shoot', 'try', 'arrive', 'meet', 'kill', 'get']
14	['Padmé Amidala', 'Star Wars Episode I: The Phantom Menace']	['Gwen Stacy', 'Spider-Man 3']	['Padmé Amidala', 'Star Wars Episode III: Revenge of the Sith']	['Gwen Stacy', 'The Amazing Spider-Man']	['Luke Hobbs', 'Fast Five']	['Clumsy Smurf', 'The Smurfs']	['Poseidon', 'Clash of the Titans']	['Duke Hammond', 'Snow White and the Huntsman']	['Poseidon', 'Wrath of the Titans']	['Sola', 'John Carter']	['general', 'police', 'major', 'lieutenant', 'chief', 'of', 'investigator', 'captain', 'officer', 'senator']	['able', 'unable', 'friend', 'brother', 'father', 'ability', 'wife', 'daughter', 'much', 'need']	['tell', 'take', 'find', 'try', 'refuse', 'return', 'become', 'go', 'meet', 'arrive']
8	['Yoda', 'Star Wars Episode III: Revenge of the Sith']	['Arthur', 'Inception']	['Robbie Ferrier', 'War of the Worlds']	['Dr. Robert Neville', 'I Am Legend']	['Cecil', 'Night at the Museum']	['Yoda', 'Star Wars Episode V: The Empire Strikes Back']	['Andy', 'Toy Story 2']	['Yoda', 'Star Wars Episode VI: Return of the Jedi']	['Charlie Bucket', 'Charlie and the Chocolate Factory']	['Emily Appleton', 'National Treasure: Book of Secrets']	['professor', 'sgt', 'prince', 'writer', 'dancer', 'general', 'colonel', 'private', 'psychiatrist', 'manager']	['friend', 'brother', 'father', 'mother', 'force', 'help', 'life', 'daughter', 'son', 'house']	['find', 'try', 'go', 'force', 'get', 'take', 'confront', 'leave', 'become', 'tell']
28	['Sirius Black', 'Harry Potter and the Prisoner of Azkaban']	['Brandt', 'Mission: Impossible – Ghost Protocol']	['Fred Haise', 'Apollo 13']	['Paul Krendler', 'Hannibal']	['Fly', 'Babe']	['Mephisto', 'Ghost Rider']	['Mavis', 'Hotel Transylvania']	['Emilie', 'War Horse']	['Hallie McDaniel', 'Scream 2']	['William Bludworth', 'Final Destination 5']	['commander', 'minister', 'producer', 'coroner', 'senator', 'leader', 'messiah', 'preacher', 'detective', 'emperor']	['wife', 'house', 'mother', 'husband', 'parent', 'daughter', 'love', 'son', 'father', 'story']	['go', 'tell', 'accuse', 'find', 'take', 'get', 'return', 'try', 'leave', 'begin']
9	['Irina Spalko', 'Indiana Jones and the Kingdom of the Crystal Skull']	['Seraph', 'The Matrix Reloaded']	['Agent Smith', 'The Matrix Reloaded']	"['Julien', ""Madagascar 3: Europe's Most Wanted""]"	['Benji', 'Mission: Impossible – Ghost Protocol']	['Peeta Mellark', 'The Hunger Games']	['Peter Ludlow', 'The Lost World: Jurassic Park']	['Julien', 'Madagascar: Escape 2 Africa']	['Julien', 'Madagascar']	['Marcel', 'Rio']	['captain', 'king', 'colonel', 'major', 'lieutenant', 'sgt', 'general', 'secretary', 'contractor', 'lead']	['son', 'named', 'men', 'friend', 'help', 'lead', 'away', 'body', 'brother', 'wife']	['lead', 'shoot', 'arrive', 'tell', 'find', 'go', 'take', 'get', 'manage', 'return']
26	['Éowyn', 'The Lord of the Rings: The Return of the King']	['Éowyn', 'The Lord of the Rings: The Two Towers']	['Nick Daley', 'Night at the Museum']	['Emperor Zurg', 'Toy Story 2']	['Nick Daley', 'Night at the Museum: Battle of the Smithsonian']	['Nero', 'Star Trek']	['Lord Asriel', 'The Golden Compass']	['Lenny', 'Shark Tale']	"['Princess Atta', ""A Bug's Life""]"	['Sokka', 'The Last Airbender']	['detective', 'dealer', 'politician', 'sheriff', 'headmistress', 'sgt', 'prince', 'emperor', 'builder', 'private']	['son', 'wife', 'daughter', 'brother', 'father', 'sister', 'husband', 'mother', 'uncle', 'story']	['go', 'take', 'find', 'tell', 'fall', 'decide', 'come', 'reveal', 'become', 'return']
22	['Lucius Malfoy', 'Harry Potter and the Order of the Phoenix']	['Lucius Malfoy', 'Harry Potter and the Chamber of Secrets']	['Peaches', 'Ice Age: Continental Drift']	['Sophie Neveu', 'The Da Vinci Code']	"['Captain Chantel DuBois', ""Madagascar 3: Europe's Most Wanted""]"	['Ivan Vanko', 'Iron Man 2']	['Doctor Watson', 'Sherlock Holmes: A Game of Shadows']	['Gru', 'Despicable Me']	['Randall Boggs', 'Monsters, Inc.']	['Chick Hicks', 'Cars']	['quarterback', 'villain', 'runner', 'specialist', 'president', 'princess', 'captain', 'deputy', 'lieutenant', 'player']	['team', 'father', 'friend', 'associate', 'brother', 'wedding', 'able', 'prison', 'army', 'plan']	['win', 'find', 'arrive', 'go', 'reveal', 'try', 'begin', 'take', 'use', 'leave']
20	['Donald Gennaro', 'Jurassic Park']	['Miranda Hillard', 'Mrs. Doubtfire']	['Billy Flynn', 'Chicago']	['Fletcher Reede', 'Liar Liar']	['Peter Banning', 'Hook']	['Mooseblood', 'Bee Movie']	['Adam Flayman', 'Bee Movie']	['Agent Augustus Eugene Gibbons', 'XXX']	['Woody Stevens', 'Wild Hogs']	['Henrietta', 'Four Weddings and a Funeral']	['lawyer', 'attorney', 'judge', 'assistant', 'district', 'solicitor', 'estate', 'agent', 'prosecutor', 'senator']	['lawyer', 'attorney', 'friend', 'colleague', 'wife', 'hand', 'horror', 'father', 'visit', 'blood']	['find', 'go', 'tell', 'leave', 'meet', 'manage', 'get', 'give', 'decide', 'arrive']
7	['Natasha Romanoff', 'The Avengers']	['King Harold', 'Shrek 2']	['King Harold', 'Shrek the Third']	['King Harold', 'Shrek Forever After']	['Natasha Romanoff', 'Iron Man 2']	['Grace Stamper', 'Armageddon']	['A.J. Frost', 'Armageddon']	['Evan Baxter', 'Bruce Almighty']	['Grace Connelly', 'Bruce Almighty']	['James McCullen - 1641', 'G.I. Joe: The Rise of Cobra']	['king', 'reporter', 'judge', 'undercover', 'agent', 'director', 'writer', 'anchorman', 'assistant', 'engineer']	['friend', 'father', 'house', 'brother', 'sister', 'daughter', 'mother', 'life', 'wife', 'end']	['end', 'tell', 'go', 'find', 'arrive', 'take', 'decide', 'run', 'get', 'give']
19	['Patrick Gates', 'National Treasure: Book of Secrets']	"['Rusty Ryan', ""Ocean's Eleven""]"	['Beni Gabor', 'The Mummy']	"['Rusty Ryan', ""Ocean's Twelve""]"	['Patrick Gates', 'National Treasure']	['Sonny', 'I, Robot']	"['Rusty Ryan', ""Ocean's Thirteen""]"	['Fa Mulan', 'Mulan']	['Foxxy Cleopatra', 'Austin Powers: Goldmember']	['Samara Morgan', 'The Ring']	['detective', 'captain', 'lieutenant', 'sheriff', 'soldier', 'assistant', 'senator', 'stripper', 'scientist', 'housewife']	['help', 'mother', 'friend', 'son', 'daughter', 'brother', 'wife', 'instruction', 'use', 'po']	['get', 'find', 'try', 'tell', 'take', 'help', 'meet', 'arrive', 'go', 'become']
6	['Carter', 'The Lost World: Jurassic Park']	['Sarah Connor', 'Terminator 2: Judgment Day']	['Bucky', 'Captain America: The First Avenger']	['Roger', '101 Dalmatians']	['President Boris Matveyev', 'Salt']	['Sylvia', 'The Truman Show']	['Maggie', 'Wild Hogs']	['Billie Frechette', 'Public Enemies']	['George Lanter', 'The Final Destination']	['Christine', 'The Man in the Iron Mask']	['police', 'princess', 'professor', 'guide', 'inspector', 'representative', 'trainer', 'assistant', 'outfielder', 'singer']	['sister', 'friend', 'daughter', 'wife', 'love', 'brother', 'son', 'name', 'flashback', 'father']	['fall', 'take', 'begin', 'go', 'come', 'become', 'get', 'find', 'decide', 'confront']
25	['Ray Ferrier', 'War of the Worlds']	['Bill Harding', 'Twister']	['Jack Traven', 'Speed']	['Sam', 'Speed']	['Felicity Shagwell', 'Austin Powers: The Spy Who Shagged Me']	['Frank Lucas', 'American Gangster']	['Kurt Buckman', 'Horrible Bosses']	"['Mrs. Poe', ""Lemony Snicket's A Series of Unfortunate Events""]"	['Pamela Glover', 'The Cannonball Run']	['David Starsky', 'Starsky & Hutch']	['driver', 'truck', 'teacher', 'taxi', 'investment', 'banker', 'captain', 'inventor', 'singer', 'bus']	['car', 'friend', 'driver', 'able', 'truck', 'father', 'brother', 'house', 'home', 'fight']	['find', 'go', 'take', 'leave', 'get', 'arrive', 'try', 'decide', 'tell', 'drive']
3	['Jane Carter', 'Mission: Impossible – Ghost Protocol']	['Caesar', 'Rise of the Planet of the Apes']	['Soto', 'Ice Age']	"['Hopper', ""A Bug's Life""]"	['Sloan', 'Wanted']	['Ben', 'G-Force']	['Barney Ross', 'The Expendables 2']	['Matai Shang', 'John Carter']	['Yorgi', 'XXX']	['Barney Ross', 'The Expendables']	['leader', 'servant', 'captain', 'spokesman', 'runner', 'home', 'secretary', 'chancellor', 'bureaucrat', 'sergeant']	['leader', 'gang', 'secretary', 'plan', 'men', 'father', 'order', 'son', 'statue', 'call']	['tell', 'take', 'go', 'find', 'kill', 'leave', 'become', 'try', 'give', 'meet']
13	['Legolas', 'The Lord of the Rings: The Return of the King']	['Orc / Sauron', 'The Lord of the Rings: The Return of the King']	['Legolas', 'The Lord of the Rings: The Two Towers']	['Rohirrim Warrior', 'The Lord of the Rings: The Two Towers']	['Lex Murphy', 'Jurassic Park']	['Legolas', 'The Lord of the Rings: The Fellowship of the Ring']	['President Thomas J. Whitmore', 'Independence Day']	['Roland Tembo', 'The Lost World: Jurassic Park']	['Solange Dimitrios', 'Casino Royale']	['Sean Ambrose', 'Mission: Impossible II']	['detective', 'general', 'commander', 'emperor', 'acrobat', 'marksman', 'president', 'police', 'captain', 'sheriff']	['wife', 'friend', 'attack', 'house', 'mother', 'daughter', 'officer', 'sister', 'body', 'brother']	['attack', 'find', 'take', 'kill', 'go', 'tell', 'meet', 'leave', 'run', 'try']
4	['Peter Pettigrew', 'Harry Potter and the Prisoner of Azkaban']	['Pedro', 'Rio']	['Sykes', 'The Fugitive']	['Sykes', 'Shark Tale']	['Lola', 'Shark Tale']	['Fox', 'Wanted']	['Dr. Bob', 'Little Fockers']	['Manfred Powell', 'Lara Croft: Tomb Raider']	"['Charlie', ""Charlie's Angels""]"	"['Dylan Sanders', ""Charlie's Angels""]"	['inspector', 'lt', 'butcher', 'industrialist', 'colonel', 'student', 'artist', 'bouncer', 'reader', 'manager']	['name', 'friend', 'mother', 'house', 'father', 'named', 'relationship', 'daughter', 'dead', 'brother']	['tell', 'take', 'go', 'leave', 'kill', 'find', 'give', 'become', 'try', 'name']
18	['Dr. Grace Augustine', 'Avatar']	['Jake Sully', 'Avatar']	['Faramir', 'The Lord of the Rings: The Return of the King']	['Philip', 'Pirates of the Caribbean: On Stranger Tides']	['Faramir', 'The Lord of the Rings: The Two Towers']	['Mutt Williams', 'Indiana Jones and the Kingdom of the Crystal Skull']	['Leia Organa', 'Star Wars Episode IV: A New Hope']	['Father of Silas', 'The Da Vinci Code']	['Violet Parr', 'The Incredibles']	['Remy', 'Ratatouille']	['princess', 'teacher', 'leader', 'captain', 'monk', 'marine', 'boiler', 'technician', 'doctor', 'boxer']	['son', 'sister', 'free', 'help', 'wife', 'plea', 'named', 'body', 'able', 'encounter']	['free', 'find', 'return', 'take', 'reveal', 'go', 'discover', 'meet', 'leave', 'end']
5	['Izzy Buttons', 'The Mummy Returns']	['Miranda Frost', 'Die Another Day']	['Roger Rabbit', 'Who Framed Roger Rabbit']	['Kailani', 'Journey 2: The Mysterious Island']	['Hannah Ásgeirsson', 'Journey to the Center of the Earth']	['Montgomery Wick', 'Vertical Limit']	['Casey Jones', 'Teenage Mutant Ninja Turtles']	['Alexander Dunning', 'Red']	['Frank Pentangeli', 'The Godfather Part II']	['Yoko', 'The Grudge']	['detective', 'general', 'psychologist', 'colonel', 'doctor', 'sheriff', 'author', 'major', 'sergeant', 'assistant']	['visit', 'wife', 'friend', 'home', 'house', 'brother', 'sister', 'mother', 'daughter', 'son']	['visit', 'arrive', 'tell', 'go', 'take', 'find', 'leave', 'ask', 'meet', 'come']
29	['Colonel Miles Quaritch', 'Avatar']	['Lau', 'The Dark Knight']	['Zizi', 'Fast Five']	['Judas Iscariot', 'The Passion of the Christ']	['Serleena', 'Men in Black II']	['Clark Barnes', 'Ransom']	['Captain Queenan', 'The Departed']	['Paine', 'The Expendables']	['Charlie Dalton', 'Dead Poets Society']	['Baby Face Nelson', 'Public Enemies']	['superstar', 'captain', 'lieutenant', 'doctor', 'queen', 'detective', 'secretary', 'police', 'chief', 'emperor']	['friend', 'son', 'murder', 'wife', 'death', 'body', 'father', 'brother', 'men', 'house']	['kill', 'find', 'go', 'take', 'leave', 'tell', 'arrive', 'want', 'see', 'join']
24	['Gimli', 'The Lord of the Rings: The Return of the King']	"['Davy Jones', ""Pirates of the Caribbean: At World's End""]"	['Mufasa', 'The Lion King']	['Gimli', 'The Lord of the Rings: The Two Towers']	['John Hammond', 'Jurassic Park']	['George Weasley', 'Harry Potter and the Chamber of Secrets']	['Gimli', 'The Lord of the Rings: The Fellowship of the Ring']	['Granny', 'Ice Age: Continental Drift']	['Mikaela Banes', 'Transformers: Revenge of the Fallen']	['George Weasley', 'Harry Potter and the Prisoner of Azkaban']	['lieutenant', 'captain', 'general', 'princess', 'ceo', 'commander', 'president', 'colonel', 'court', 'jester']	['friend', 'father', 'rescue', 'wedding', 'brother', 'house', 'named', 'son', 'team', 'counterpart']	['rescue', 'take', 'meet', 'find', 'attempt', 'try', 'go', 'become', 'leave', 'return']
17	['Neville Longbottom', 'Harry Potter and the Deathly Hallows – Part 2']	['Neville Longbottom', 'Harry Potter and the Order of the Phoenix']	['Neville Longbottom', 'Harry Potter and the Goblet of Fire']	['Cedric Diggory', 'Harry Potter and the Goblet of Fire']	['Ariadne', 'Inception']	['Neville Longbottom', 'Harry Potter and the Prisoner of Azkaban']	['Master Shifu', 'Kung Fu Panda']	['Matt Farrell', 'Live Free or Die Hard']	['Gallaxhar', 'Monsters vs. Aliens']	['Boris Grishenko', 'GoldenEye']	['student', 'teacher', 'police', 'officer', 'professor', 'machinist', 'journalist', 'inspector', 'senator', 'supervisor']	['student', 'friend', 'house', 'mother', 'father', 'son', 'parent', 'able', 'body', 'interest']	['take', 'go', 'find', 'decide', 'tell', 'return', 'leave', 'run', 'try', 'become']
27	['Willy Wonka', 'Charlie and the Chocolate Factory']	['Leonard McCoy', 'Star Trek']	['Richard Kimble', 'The Fugitive']	['Hannibal Lecter', 'Hannibal']	['Dr. John Cawley', 'Shutter Island']	['Dr. John Dolittle', 'Dr. Dolittle']	['Hannibal Lecter', 'The Silence of the Lambs']	['Doug Madsen', 'Wild Hogs']	['Teenage Bruce Banner', 'Hulk']	['Julia Hoffman', 'Dark Shadows']	['doctor', 'psychiatrist', 'surgeon', 'count', 'police', 'officer', 'woodcarver', 'physician', 'dentist', 'veterinarian']	['castle', 'coffin', 'body', 'servant', 'vampire', 'blood', 'evil', 'slave', 'doctor', 'house']	['take', 'arrive', 'kill', 'leave', 'get', 'appear', 'bite', 'visit', 'go', 'enter']
15	['Shira', 'Ice Age: Continental Drift']	['Anna', 'I Am Legend']	['Ethan', 'I Am Legend']	['Nigel', 'Rio']	['Blu', 'Rio']	['Rinzler', 'Tron: Legacy']	"['Matsui', ""Ocean's Twelve""]"	['Ari', 'Planet of the Apes']	['Isabella Molina', 'Rush Hour 2']	['Flower', 'Bambi']	['taxi', 'driver', 'detective', 'executive', 'housewife', 'filmmaker', 'police', 'officer', 'collector', 'drifter']	['named', 'called', 'friend', 'apartment', 'mother', 'life', 'death', 'house', 'gesture', 'child']	['find', 'go', 'take', 'try', 'become', 'manage', 'arrive', 'run', 'escape', 'help']
10	"['Rubeus Hagrid', ""Harry Potter and the Philosopher's Stone""]"	['Rubeus Hagrid', 'Harry Potter and the Order of the Phoenix']	['Rubeus Hagrid', 'Harry Potter and the Chamber of Secrets']	['Rubeus Hagrid', 'Harry Potter and the Prisoner of Azkaban']	['Rue', 'The Hunger Games']	['General Ivan Radek', 'Air Force One']	['Leeloo', 'The Fifth Element']	['Alan Parrish', 'Jumanji']	"['Balthazar Blake', ""The Sorcerer's Apprentice""]"	['Guy de Lusignan', 'Kingdom of Heaven']	['pop', 'star', 'director', 'colonel', 'captain', 'handler', 'general', 'music', 'bachelor', 'accountant']	['friend', 'brother', 'release', 'father', 'hand', 'forest', 'wife', 'body', 'name', 'life']	['go', 'find', 'meet', 'reveal', 'take', 'return', 'kill', 'manage', 'tell', 'release']
23	['Boromir', 'The Lord of the Rings: The Fellowship of the Ring']	['Mary Embrey', 'Hancock']	['Commander Richter', 'Angels and Demons']	['Salim Abu Aziz', 'True Lies']	['Moira MacTaggert', 'X-Men: First Class']	['Maris Conner', 'Ransom']	['Bennett', 'Resident Evil: Afterlife']	['Barrigan', 'The Departed']	['Kirill', 'The Bourne Supremacy']	['Reynard', 'Rush Hour 3']	['sergeant', 'sniper', 'captain', 'detective', 'sheriff', 'lieutenant', 'private', 'trainer', 'special', 'agent']	['death', 'friend', 'man', 'gun', 'officer', 'sniper', 'presence', 'son', 'father', 'brother']	['shoot', 'tell', 'kill', 'take', 'leave', 'try', 'die', 'find', 'reveal', 'give']
31	['Raymond Babbitt', 'Rain Man']	['Cindy Campbell', 'Scary Movie']	['Deloris Van Cartier / Sister Mary Clarence', 'Sister Act']	['Cindy Campbell', 'Scary Movie 3']	['Linda McKay', 'Hollow Man']	['Carlos', 'Hop']	"['Cassandra Wong', ""Wayne's World""]"	['Sam Holloman', 'Eagle Eye']	['Eric Draven', 'The Crow']	['Cindy Campbell', 'Scary Movie 2']	['singer', 'guitarist', 'musician', 'composer', 'pianist', 'drummer', 'bassist', 'baritone', 'saxophonist', 'doctor']	['song', 'singer', 'sister', 'brother', 'singing', 'prank', 'love', 'friend', 'death', 'relationship']	['become', 'go', 'try', 'find', 'leave', 'decide', 'take', 'begin', 'accept', 'realize']
11	['Hernan Reyes', 'Fast Five']	['Skinner', 'Ratatouille']	['Alfredo Linguini', 'Ratatouille']	"['Reuben Tishkoff', ""Ocean's Eleven""]"	"['Reuben Tishkoff', ""Ocean's Thirteen""]"	['Jon Arbuckle', 'Garfield: The Movie']	['Robby Keough', 'Outbreak']	['Octopussy', 'Octopussy']	['Yevhen', 'The Italian Job']	['Ivan Tretiak', 'The Saint']	['owner', 'leader', 'manager', 'landlord', 'captain', 'journalist', 'capt', 'boss', 'reverend', 'detective']	['owner', 'wife', 'suspicious', 'friend', 'man', 'help', 'associate', 'named', 'house', 'leader']	['take', 'send', 'try', 'go', 'tell', 'arrive', 'decide', 'make', 'meet', 'discover']
30	['Rafiki', 'The Lion King']	['Jetfire', 'Transformers: Revenge of the Fallen']	['Jetfire', 'Transformers: Revenge of the Fallen']	['Humpty Dumpty', 'Puss in Boots']	['Jill', 'Puss in Boots']	['Jack', 'Puss in Boots']	['Simon Ross', 'The Bourne Ultimatum']	['Warlock', 'Live Free or Die Hard']	['Det. Sgt. John Taggart', 'Beverly Hills Cop']	['Aaron Cross', 'The Bourne Legacy']	['detective', 'inspector', 'police', 'runner', 'sheriff', 'marshal', 'nurse', 'developer', 'special', 'agent']	['help', 'able', 'house', 'partner', 'son', 'wife', 'man', 'daughter', 'revenge', 'reluctant']	['track', 'go', 'kill', 'take', 'try', 'find', 'leave', 'tell', 'learn', 'agree']
33	['Claire Spencer', 'What Lies Beneath']	['Hauser', 'Total Recall']	['Tina Wilcox', 'Jaws 2']	['Sonny Corleone as a Boy', 'The Godfather Part II']	['Vicki Vallencourt', 'The Waterboy']	['Roddy', 'Flushed Away']	['Lilly Raines', 'In the Line of Fire']	['Spiller', 'Arrietty']	['Elle Woods', 'Legally Blonde']	['Elle Woods', 'Legally Blonde 2: Red, White & Blonde']	['congresswoman', 'president', 'chief', 'of', 'police', 'waitress', 'playwright', 'king', 'mechanic', 'schoolteacher']	['relationship', 'wife', 'friend', 'life', 'daughter', 'child', 'husband', 'old', 'pregnant', 'love']	['go', 'tell', 'find', 'leave', 'decide', 'take', 'return', 'discover', 'come', 'get']
